2,val_acc,sensitivity,specificity,run,std1,std2,std3
,0.33333334,0.1111111111111111,0.4444444444444444,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.33333334,0.1111111111111111,0.4444444444444444,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.33333334,0.1111111111111111,0.4444444444444444,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.36363637,0.4479166666666667,0.7847222222222222,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.42424244,0.31868131868131866,0.7515262515262515,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.5802469135802468,0.7999999999999999,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.6666666666666666,0.7417592592592591,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.31241830065359477,0.7488425925925926,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.35858585858585856,0.7516699250570218,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.46064814814814814,0.731013071895425,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.6571428571428571,0.764423076923077,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.6790123456790123,0.7555555555555555,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.45454547,0.3102453102453102,0.7667297979797979,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.4848485,0.4542483660130719,0.7602657004830918,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.4848485,0.4791504791504791,0.7452020202020201,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.4848485,0.5095238095238096,0.7468671679197995,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.4848485,0.48484848484848486,0.7427693079866993,covid_vit_lr0.0005_split0_isaug1_isbalval1 randz-bal-all,,,
,0.4331550878636977,0.4148628740540506,0.7014517225256557,,0.0554271205136612,0.18584541963361478,0.12371198287497226
